id_usuario,dia_ganancias,ganancias_MXN,ganancias_USD,ganancias_CAD,ganancias_EUR
63,2025-01-20,-491,102,91,151
83,2025-01-03,237,647,186,-143
50,2025-03-05,-831,868,-934,993
49,2025-01-22,-373,47,222,858
44,2025-03-06,-421,572,50,-427
84,2025-02-07,878,130,-794,932
71,2025-02-27,644,861,-978,-79
70,2025-02-06,802,-254,690,393
64,2025-04-02,-24,486,-370,441
95,2025-03-15,13,-281,81,-621
98,2025-03-18,-636,769,703,-554
7,2025-02-28,775,263,593,989
16,2025-01-25,584,246,-686,-401
49,2025-03-20,-580,-688,199,-753
2,2025-03-17,790,271,-670,-48
48,2025-03-01,326,-160,23,-846
1,2025-03-18,669,-137,336,726
64,2025-01-23,-508,-809,436,948
94,2025-03-19,-657,399,801,604
37,2025-01-26,743,-113,-161,-237
60,2025-02-19,923,405,-383,927
63,2025-01-10,111,-885,-316,543
49,2025-03-31,963,-568,319,-646
54,2025-03-27,891,-35,-652,-578
20,2025-02-24,592,621,13,-914
31,2025-02-07,-67,703,-169,-972
8,2025-02-06,620,259,-859,-785
46,2025-01-16,-197,-900,810,811
42,2025-02-24,96,542,460,-611
39,2025-02-15,762,135,999,926
59,2025-01-08,-379,54,182,228
56,2025-01-26,163,242,97,292
7,2025-01-04,-778,-517,-643,789
1,2025-02-11,221,-153,80,-529
90,2025-01-08,-226,-756,811,-422
98,2025-02-09,-786,209,280,814
17,2025-01-17,-11,-236,60,-403
64,2025-01-25,810,152,738,154
14,2025-03-06,272,751,-469,231
13,2025-02-20,947,769,242,-314
68,2025-03-10,-670,-753,642,20
78,2025-02-09,-274,913,398,115
38,2025-01-31,-806,315,598,691
75,2025-02-11,-600,-289,-885,940
48,2025-03-30,-208,562,-760,68
69,2025-01-17,-795,589,-983,400
6,2025-03-11,-944,-128,762,-703
10,2025-02-14,-973,957,-664,944
11,2025-02-13,100,293,-560,675
85,2025-02-11,871,-575,-890,114
32,2025-03-28,399,-661,358,41
58,2025-04-01,921,223,635,298
1,2025-03-29,128,584,66,134
41,2025-02-09,86,-856,77,994
61,2025-02-25,-843,-844,415,-381
31,2025-01-14,363,296,-335,96
37,2025-03-23,758,153,517,924
87,2025-01-01,978,694,582,-799
80,2025-04-01,-497,-846,823,-535
79,2025-04-02,-304,-44,289,564
11,2025-01-04,471,-928,-416,-860
98,2025-01-31,-359,-729,-501,695
74,2025-01-20,622,-383,-22,59
11,2025-01-13,360,78,723,986
20,2025-01-25,-936,-807,-545,-40
50,2025-01-03,-586,977,351,178
80,2025-01-31,467,630,212,-785
99,2025-01-29,966,-676,623,-815
38,2025-02-19,-611,-603,-933,900
37,2025-01-07,600,410,-444,334
23,2025-02-09,915,383,406,-665
78,2025-01-14,-651,-811,-194,-543
63,2025-03-19,-891,-683,71,-175
48,2025-02-10,-449,-222,-854,248
56,2025-03-12,-777,138,793,428
54,2025-03-12,-104,410,796,-938
62,2025-02-15,970,23,-441,710
74,2025-02-15,-391,-603,-676,-942
31,2025-03-16,134,667,-353,859
51,2025-01-16,88,742,-543,361
87,2025-03-17,422,855,848,-21
39,2025-03-19,-508,442,979,-91
40,2025-01-31,-514,897,-135,740
5,2025-02-23,855,951,710,-581
1,2025-01-08,592,-119,718,-362
17,2025-01-07,795,-115,-359,-379
75,2025-03-10,-572,-478,498,265
94,2025-03-26,541,914,-951,-732
80,2025-03-12,-630,-474,398,-279
27,2025-03-06,-701,484,-894,-827
86,2025-01-29,-403,316,-193,-332
42,2025-02-23,-614,-815,-938,910
23,2025-03-17,-666,-554,298,612
97,2025-02-01,-716,-674,179,-286
38,2025-01-11,302,-877,124,796
93,2025-01-02,615,-785,-921,-528
25,2025-01-22,671,-945,47,20
73,2025-03-10,-277,-176,874,-679
33,2025-01-28,-466,736,-781,469
35,2025-01-30,-849,-490,64,321
28,2025-01-30,-519,-484,-409,712
44,2025-01-23,-528,360,-569,-761
54,2025-02-05,-520,462,-954,428
63,2025-02-13,-344,-619,105,-259
5,2025-03-16,932,303,-588,-784
22,2025-01-14,390,-439,-801,381
48,2025-03-07,-170,439,22,100
25,2025-02-01,899,104,971,-652
94,2025-02-06,-663,521,162,-487
97,2025-02-09,823,-290,-912,-470
3,2025-02-18,-199,-242,297,-466
80,2025-03-27,-976,-321,963,97
81,2025-02-26,-237,735,-116,109
3,2025-03-01,482,-862,586,-818
2,2025-01-13,-467,-785,131,280
41,2025-02-24,-748,843,709,-396
62,2025-01-26,-651,-815,835,-371
40,2025-01-21,-157,961,-107,-988
58,2025-01-09,-228,820,-251,-262
83,2025-04-01,-938,746,-25,-108
48,2025-03-30,556,676,-138,-763
26,2025-02-09,52,113,-641,716
89,2025-04-02,-961,660,856,594
65,2025-01-08,170,-308,873,-405
92,2025-02-08,759,4,435,434
6,2025-01-07,-71,-132,622,507
31,2025-03-02,499,847,956,-116
33,2025-03-31,338,-495,-112,-567
47,2025-01-05,159,-678,284,982
23,2025-01-26,206,454,285,523
34,2025-02-23,154,-191,871,-807
99,2025-01-02,779,188,-594,465
77,2025-03-15,527,843,-74,-927
4,2025-02-17,98,639,776,-381
23,2025-03-14,671,290,609,-599
27,2025-02-24,496,441,-384,642
31,2025-03-21,681,697,-560,907
78,2025-03-22,890,-621,42,827
88,2025-02-07,-426,274,567,243
85,2025-03-27,-335,841,391,149
8,2025-02-24,435,-898,-998,-646
1,2025-01-04,-825,-683,252,81
5,2025-01-07,-42,-571,-481,661
14,2025-03-11,202,-665,826,-316
52,2025-02-22,675,-267,-143,-732
16,2025-01-19,41,873,-475,626
33,2025-02-20,225,-318,-637,926
50,2025-03-26,-152,-586,-711,-364
3,2025-02-27,753,-464,626,364
71,2025-03-19,-714,220,438,-387
98,2025-02-07,-50,-730,498,985
76,2025-01-15,527,920,-443,-52
53,2025-01-25,-16,-450,-400,65
80,2025-01-26,-611,806,-250,-830
86,2025-01-12,-199,-433,200,-846
26,2025-03-12,187,498,-987,-953
54,2025-01-09,509,769,-859,990
12,2025-03-31,-811,-946,772,-646
26,2025-01-26,-357,-418,788,-344
26,2025-04-01,-368,-15,239,-905
80,2025-03-10,531,-817,432,941
93,2025-02-07,-744,5,534,819
82,2025-01-01,966,267,673,-360
25,2025-01-16,172,757,350,152
31,2025-04-01,150,-223,514,-171
48,2025-03-12,-295,-834,617,-533
77,2025-01-18,-607,315,-984,-545
22,2025-01-23,-909,-804,868,-626
83,2025-02-17,530,-908,-884,577
33,2025-01-27,893,-737,314,-603
57,2025-03-06,185,452,-130,-692
40,2025-02-21,-698,135,744,776
28,2025-03-24,-775,613,-459,-392
74,2025-01-12,640,538,809,-523
86,2025-01-09,-480,-289,333,497
12,2025-02-25,432,61,-782,21
43,2025-02-21,152,539,-207,716
89,2025-01-01,-966,-602,-392,-935
42,2025-01-02,579,-146,-979,-772
21,2025-03-10,-901,536,616,86
67,2025-02-05,158,-987,-345,-158
15,2025-01-18,544,-931,-144,-46
10,2025-03-23,-419,-33,-636,-887
62,2025-03-10,-758,781,551,-601
3,2025-02-28,799,-753,681,577
15,2025-01-23,-245,-458,156,-446
94,2025-03-19,921,389,-74,891
12,2025-02-14,302,540,968,304
62,2025-02-01,639,571,-365,-953
79,2025-02-02,-650,-991,16,472
26,2025-03-19,-827,-827,239,-635
7,2025-03-27,10,-672,-215,48
78,2025-03-01,1,625,196,514
9,2025-03-21,-348,-435,492,281
6,2025-01-30,-904,124,730,165
85,2025-03-31,805,-444,268,-684
18,2025-01-28,456,-86,856,525
8,2025-02-28,874,-775,-176,448
37,2025-03-13,158,-495,698,-178
21,2025-01-06,-331,831,249,-636
83,2025-03-08,606,560,86,90
44,2025-03-05,-763,-476,848,-593
83,2025-01-19,-193,409,-55,-829
10,2025-01-09,571,-396,4,-963
80,2025-03-29,-410,-270,765,-3
72,2025-03-06,-900,854,708,-115
37,2025-02-27,706,650,212,-474
73,2025-03-18,-53,-724,222,-893
15,2025-03-15,-308,110,-681,-611
44,2025-02-11,652,567,334,-763
30,2025-01-13,131,235,23,902
56,2025-01-30,-955,317,6,359
43,2025-01-20,-681,-32,39,-768
77,2025-03-01,884,518,70,706
37,2025-03-19,980,-655,-315,-712
29,2025-01-11,989,157,421,488
81,2025-01-18,231,345,359,-594
3,2025-03-17,952,191,-863,-515
56,2025-03-27,87,778,-270,515
30,2025-02-18,769,-220,423,467
42,2025-02-16,55,-37,514,68
15,2025-02-16,10,264,175,-431
21,2025-02-08,-123,343,778,186
15,2025-02-21,83,54,-524,18
28,2025-03-23,708,386,427,985
3,2025-02-22,27,-63,763,-545
90,2025-01-28,718,747,115,-281
64,2025-01-04,334,367,-772,-256
53,2025-02-06,267,-219,127,-385
4,2025-02-14,269,954,-900,-594
85,2025-01-24,775,-464,-208,384
76,2025-02-12,-669,186,423,762
6,2025-02-18,-354,-778,-397,714
89,2025-02-11,-248,-444,753,832
51,2025-02-06,152,360,-817,-723
76,2025-03-26,-797,344,218,432
27,2025-02-05,-428,99,206,-188
23,2025-01-19,389,907,545,241
30,2025-01-12,-796,856,828,-486
31,2025-02-28,240,348,-107,-393
24,2025-01-12,856,570,-709,-336
19,2025-01-14,67,477,-156,718
7,2025-02-06,17,-696,428,457
82,2025-02-18,686,58,-594,602
8,2025-02-07,-913,-272,-726,-212
16,2025-04-01,252,811,-804,814
25,2025-03-12,667,-764,529,48
95,2025-02-07,-258,665,-173,-174
85,2025-01-16,-773,796,-266,318
95,2025-02-17,-289,-973,-229,-628
59,2025-03-11,482,-607,-544,445
13,2025-03-24,-242,-596,640,959
2,2025-02-19,-431,-609,765,-3
36,2025-01-28,-961,-888,-679,776
50,2025-01-13,546,756,-776,300
75,2025-02-19,590,471,800,-994
16,2025-02-15,-988,631,-757,-900
44,2025-01-18,-230,146,-566,-181
8,2025-02-11,-158,-85,-763,-384
2,2025-02-04,-62,97,936,572
47,2025-01-27,554,-8,-959,590
39,2025-01-09,62,714,-318,-38
23,2025-01-20,-262,-975,-598,4
73,2025-03-05,-802,502,-551,-796
7,2025-03-29,-700,201,-452,-967
27,2025-01-27,260,655,-153,89
87,2025-02-11,765,924,764,754
39,2025-03-06,-173,-493,123,91
76,2025-03-16,524,-45,681,390
54,2025-01-02,927,867,484,-489
63,2025-01-30,-228,26,991,716
74,2025-02-08,49,-19,312,747
37,2025-01-10,747,-281,847,626
11,2025-02-13,92,178,-879,-419
32,2025-03-30,774,510,284,708
63,2025-02-23,-589,173,-896,-843
84,2025-01-27,472,-590,992,-319
28,2025-02-03,528,344,-238,375
50,2025-03-28,727,225,785,-488
37,2025-03-23,-529,-545,-243,233
2,2025-03-09,-807,673,332,828
50,2025-01-28,-979,369,-564,456
52,2025-03-18,-250,642,933,826
46,2025-01-23,18,134,-846,993
69,2025-02-27,-439,837,65,700
94,2025-02-21,-411,-801,-453,828
90,2025-03-28,235,-813,966,47
54,2025-03-31,871,-190,-524,-633
83,2025-03-12,-832,-20,-239,-21
49,2025-03-06,-645,447,500,-681
86,2025-03-18,-161,342,383,-663
74,2025-03-31,-120,474,-867,-735
96,2025-02-15,437,-926,78,484
72,2025-01-25,78,-122,-587,-759
34,2025-01-06,529,-313,-404,474
29,2025-02-15,200,-517,-709,-94
79,2025-02-14,-868,660,-586,52
99,2025-02-08,-55,-613,680,-208
79,2025-01-03,-497,766,-502,-480
41,2025-03-18,750,-557,0,125
35,2025-01-09,947,734,289,323
15,2025-03-10,298,607,789,-579
62,2025-02-22,-465,-286,352,24
38,2025-03-04,-516,-119,615,41
35,2025-02-18,665,-454,-734,11
54,2025-03-08,-835,373,238,-851
35,2025-01-30,-176,-319,82,527
35,2025-03-22,-167,443,-289,266
31,2025-02-03,-749,146,-265,-595
85,2025-01-22,845,-390,-618,-434
42,2025-01-03,-770,-336,568,-867
98,2025-02-19,-551,-325,-195,-813
43,2025-03-16,809,-960,437,-505
50,2025-03-01,828,985,-30,-361
75,2025-02-23,-449,-234,-919,723
37,2025-03-15,-836,155,196,623
48,2025-03-22,-205,568,-125,552
52,2025-02-22,943,833,73,-939
77,2025-01-17,-577,-322,-967,989
57,2025-01-12,403,-735,548,-326
69,2025-03-01,597,-985,-767,-490
89,2025-01-06,-728,-615,-356,-224
63,2025-02-26,-427,40,808,-819
33,2025-03-29,-116,-167,-464,806
96,2025-02-04,877,-877,862,-435
46,2025-02-25,585,980,897,486
25,2025-02-08,401,-298,-751,970
30,2025-01-17,-478,212,-636,63
57,2025-02-10,-747,-92,755,-857
49,2025-02-04,-326,-322,-211,-328
29,2025-01-14,-24,-3,-434,212
71,2025-03-19,629,-411,823,713
97,2025-02-18,2,-560,260,-502
19,2025-03-15,-503,515,251,-392
63,2025-01-28,-854,747,945,623
88,2025-02-13,146,677,397,-896
48,2025-03-16,-257,684,-132,853
18,2025-02-11,-663,-938,798,-61
29,2025-03-01,-334,-206,696,397
33,2025-02-06,756,234,-240,990
77,2025-03-19,721,-193,-676,-861
83,2025-03-24,-392,-884,136,-580
98,2025-01-02,320,-45,345,326
73,2025-02-27,-36,183,-415,305
53,2025-02-15,193,-495,-868,234
74,2025-03-16,-65,-197,719,-588
65,2025-02-01,171,310,-334,-923
19,2025-02-05,253,-615,-6,131
98,2025-01-29,147,226,-594,192
99,2025-02-01,225,718,113,-990
13,2025-02-25,918,-224,659,633
80,2025-03-24,728,-264,-208,-683
70,2025-03-06,-874,-35,-727,-543
43,2025-03-02,497,358,495,372
60,2025-01-31,730,903,509,-300
34,2025-03-17,-236,73,-405,882
14,2025-01-06,-448,-690,-780,-236
65,2025-02-10,-875,715,630,-442
16,2025-01-29,-839,-679,-648,-525
41,2025-03-02,-348,795,935,272
10,2025-03-11,-993,-926,-606,-607
53,2025-03-02,-726,845,-149,188
21,2025-03-23,514,32,-757,661
85,2025-02-24,876,598,-405,571
36,2025-03-14,570,941,-829,961
43,2025-03-08,-619,994,-899,471
67,2025-01-02,-41,878,-64,798
11,2025-02-15,-607,102,-535,462
96,2025-03-18,395,103,974,302
11,2025-02-10,375,-79,6,-886
21,2025-01-24,-258,432,976,-308
99,2025-03-17,-990,-705,-28,790
71,2025-01-13,-231,942,-224,-854
37,2025-01-11,-391,117,-642,701
68,2025-01-12,-202,505,682,286
10,2025-01-16,937,-718,610,-673
87,2025-03-02,-575,289,633,829
11,2025-03-01,696,-262,-923,-871
86,2025-03-28,28,555,-764,401
50,2025-02-05,962,589,184,-164
39,2025-04-02,634,-511,198,398
55,2025-01-10,-525,309,197,-803
7,2025-02-09,-490,488,-984,700
40,2025-01-21,582,-395,973,-165
76,2025-04-01,-773,201,-497,862
35,2025-02-04,-333,-121,-843,-164
81,2025-01-30,239,181,205,-889
63,2025-03-03,680,-804,-168,-583
3,2025-03-25,-509,472,-218,-67
49,2025-03-30,-310,-745,-96,-473
56,2025-01-05,417,-732,-422,993
39,2025-02-02,-237,-986,886,276
89,2025-04-01,436,-76,361,30
24,2025-01-28,-166,-356,-318,-180
23,2025-01-20,-170,-456,-741,-756
34,2025-03-10,-754,772,-484,-303
3,2025-02-15,-829,-492,-541,-978
54,2025-02-18,371,224,-453,427
7,2025-02-25,228,863,792,127
21,2025-01-04,728,574,361,-331
58,2025-01-04,-600,-610,-421,299
46,2025-04-02,71,-569,105,882
81,2025-03-20,-243,903,330,-618
36,2025-03-14,119,664,52,-532
4,2025-03-08,-562,875,-403,-143
35,2025-03-07,233,567,261,-940
49,2025-01-04,636,892,-997,-855
74,2025-01-12,358,55,931,888
99,2025-01-17,122,-66,318,-120
6,2025-03-29,-802,-741,249,700
45,2025-03-21,-149,-874,-190,687
97,2025-03-11,378,706,-697,-746
26,2025-03-31,-16,24,132,331
1,2025-03-19,60,967,-793,-847
71,2025-04-02,203,-576,-642,245
81,2025-02-19,107,683,-597,-862
10,2025-01-01,-454,-134,-532,352
86,2025-01-17,250,-526,-693,326
30,2025-03-24,605,673,852,666
12,2025-02-05,-36,-451,-567,978
68,2025-01-16,-982,322,828,865
28,2025-03-11,108,81,-66,172
88,2025-01-25,-408,103,289,-881
56,2025-03-15,-940,96,-455,699
62,2025-04-01,910,769,950,-76
56,2025-02-04,820,707,475,639
84,2025-01-08,346,-753,637,-497
84,2025-04-01,-490,742,-44,610
4,2025-01-20,745,-292,-361,144
65,2025-02-05,455,280,170,583
32,2025-01-28,714,-65,-560,952
64,2025-03-04,-130,-979,208,-903
97,2025-03-14,661,936,-508,239
45,2025-02-08,-184,507,-5,-485
84,2025-01-25,867,-477,60,390
29,2025-02-02,-592,248,-842,911
99,2025-03-27,518,324,-704,428
1,2025-01-08,-527,-300,705,801
10,2025-01-18,412,499,5,-385
39,2025-03-11,-661,647,597,453
33,2025-01-02,136,-535,-982,-413
56,2025-01-02,-259,10,-379,202
40,2025-03-03,835,956,-308,438
92,2025-01-31,107,663,447,-363
6,2025-02-21,-3,993,169,-288
49,2025-03-10,-665,916,559,324
91,2025-03-17,31,391,472,212
85,2025-02-23,-657,-851,14,938
9,2025-02-12,-542,-354,790,-218
59,2025-01-23,929,-650,625,-678
85,2025-01-30,-970,409,-717,-758
39,2025-02-01,372,921,298,904
50,2025-03-06,-162,-640,485,-427
1,2025-03-23,-530,-816,476,215
23,2025-04-02,975,-922,-332,-406
7,2025-02-11,845,-132,727,-508
61,2025-02-11,-945,846,991,150
27,2025-01-11,-437,453,-555,-961
4,2025-02-09,-278,-610,480,141
29,2025-03-07,872,-991,-608,-282
68,2025-02-25,771,-511,597,-753
61,2025-02-08,-370,641,-724,567
32,2025-02-24,237,-850,-731,-725
60,2025-03-24,-873,884,832,-429
44,2025-03-19,833,-757,321,659
48,2025-03-07,-974,496,876,641
89,2025-02-18,-815,178,512,407
72,2025-03-02,741,58,148,-774
73,2025-03-09,-608,816,-495,360
60,2025-02-01,-342,233,-39,652
10,2025-01-13,-694,-428,111,323
71,2025-03-22,843,-802,102,-430
30,2025-01-18,-133,618,118,140
29,2025-01-12,638,858,-99,382
31,2025-02-05,519,653,694,-991
47,2025-03-16,-489,-36,764,-112
77,2025-02-25,436,-266,-742,270
30,2025-04-02,-75,-900,-489,185
89,2025-02-28,125,-620,-885,917
63,2025-01-13,929,334,21,-361
43,2025-02-28,-521,-37,990,616
12,2025-01-23,-261,-355,-795,990
94,2025-01-24,-625,-477,676,-88
32,2025-01-11,494,522,711,-958
9,2025-01-04,-1000,593,98,-344
96,2025-03-21,-536,-4,849,-777
6,2025-02-01,520,103,821,682
56,2025-02-22,-438,703,676,945
11,2025-02-14,528,111,-519,-59
29,2025-04-02,-714,-82,-353,89
95,2025-01-15,-250,-462,-81,210
16,2025-02-22,-236,-35,-756,-7
87,2025-01-28,-303,-666,-122,-682
22,2025-04-02,-490,-1000,533,-4
16,2025-03-07,-580,-635,683,983
31,2025-02-20,362,-891,248,782
94,2025-03-10,741,194,550,902
6,2025-02-16,-315,340,558,285
59,2025-02-14,650,62,-102,369
76,2025-02-08,240,578,-232,467
73,2025-02-03,992,374,734,-822
32,2025-02-22,640,675,-280,711
35,2025-03-20,78,-162,-141,839
6,2025-02-02,99,-25,186,604
32,2025-02-27,593,428,581,-223
74,2025-01-25,672,821,-489,-469
11,2025-02-13,-286,647,-226,474
76,2025-02-24,-99,-121,232,569
58,2025-02-20,-164,-460,134,414
30,2025-03-04,549,879,-928,472
19,2025-02-18,831,-230,387,-697
82,2025-01-07,35,-635,144,377
74,2025-01-06,-127,-408,-216,660
40,2025-01-23,416,206,479,-828
49,2025-01-16,201,-621,633,594
60,2025-04-02,228,246,153,506
31,2025-04-02,-412,-491,-748,927
61,2025-02-11,351,927,888,-756
71,2025-03-08,-960,754,608,727
48,2025-01-27,539,-316,-49,-591
62,2025-02-12,614,596,-291,-212
2,2025-02-18,626,-374,-542,669
5,2025-03-12,691,685,-238,162
66,2025-01-31,837,240,-981,-857
55,2025-02-25,-374,721,34,-889
36,2025-02-20,-107,-582,585,371
92,2025-04-02,646,614,819,-734
38,2025-02-03,-648,317,966,421
33,2025-03-06,841,-936,-820,-360
1,2025-01-10,-230,68,999,-535
72,2025-02-26,-232,-353,-672,387
32,2025-02-10,701,-653,-835,166
77,2025-01-16,188,150,-685,77
2,2025-02-14,-550,-881,293,-502
31,2025-03-11,33,-163,-852,639
39,2025-02-06,671,257,126,-322
61,2025-01-19,-148,116,948,-604
21,2025-03-06,-620,547,530,-808
10,2025-02-14,236,-935,933,420
23,2025-01-10,-936,148,445,-244
4,2025-03-08,302,339,449,-497
54,2025-03-18,22,-664,-166,351
16,2025-02-04,-326,998,-795,505
62,2025-03-15,-20,329,173,731
31,2025-03-04,-981,-921,908,-423
56,2025-03-05,445,713,-533,132
7,2025-03-22,361,-589,-428,389
56,2025-01-27,702,-801,504,-939
40,2025-01-23,-798,954,362,269
48,2025-01-29,-971,608,128,799
7,2025-03-01,-119,-863,-42,831
67,2025-03-13,-188,417,683,367
65,2025-02-14,54,-470,-209,265
15,2025-02-14,-887,420,950,223
65,2025-01-23,-129,502,585,21
34,2025-01-19,-64,-684,-148,-17
52,2025-01-01,-971,-666,-395,-350
13,2025-01-07,904,-114,836,-929
65,2025-02-20,894,-630,-272,697
30,2025-01-03,402,659,727,-29
80,2025-02-07,-743,452,-288,-768
59,2025-03-15,-855,-775,-733,-832
9,2025-02-27,399,-192,287,521
83,2025-01-11,-167,-471,666,548
99,2025-01-12,-331,-882,496,573
76,2025-01-23,-721,963,202,-699
94,2025-01-15,-134,-267,251,80
13,2025-03-10,-761,977,-517,-335
2,2025-03-10,-421,-573,-848,680
15,2025-01-17,-228,822,975,-856
32,2025-03-22,168,735,391,-814
34,2025-02-08,756,-729,663,-60
3,2025-02-16,76,276,-194,-79
21,2025-02-16,148,74,-94,21
69,2025-03-26,-959,-171,-284,-416
12,2025-01-22,-948,-145,801,727
98,2025-02-19,-65,130,259,-875
62,2025-03-22,411,-252,709,-718
57,2025-01-11,119,-862,758,-548
80,2025-01-12,882,282,43,-712
9,2025-02-23,-7,-513,742,-406
95,2025-03-11,498,592,829,589
97,2025-01-10,87,-843,802,840
64,2025-02-14,675,995,-859,566
76,2025-03-20,-797,110,-544,-331
82,2025-01-27,-475,995,-90,915
30,2025-01-02,459,-823,612,408
76,2025-03-07,294,-78,-802,21
72,2025-02-27,3,716,-335,-466
25,2025-02-13,-815,697,-748,133
17,2025-01-28,601,-459,143,386
43,2025-03-10,-825,197,699,24
81,2025-02-18,638,30,496,-914
75,2025-02-06,-207,-277,-164,465
81,2025-03-29,399,-761,-114,780
7,2025-03-26,-589,764,985,-921
7,2025-01-26,-512,-299,-259,-945
84,2025-03-18,375,953,246,836
96,2025-01-25,192,-631,-208,-512
67,2025-01-18,-320,-660,783,-547
65,2025-01-27,-178,-854,-186,974
87,2025-01-18,-981,-643,-99,528
54,2025-02-24,107,237,543,-752
47,2025-03-14,126,-664,25,-702
48,2025-03-09,-717,-284,98,-904
44,2025-01-10,-734,174,514,931
13,2025-03-13,-481,897,-139,818
11,2025-01-25,985,-101,-594,103
53,2025-03-18,563,-402,-702,982
26,2025-01-01,742,-683,-967,244
46,2025-02-20,-315,-602,-67,-15
29,2025-03-19,831,980,994,696
38,2025-03-14,784,-652,-926,-871
33,2025-03-02,-406,-148,-819,495
91,2025-01-26,622,185,236,-981
85,2025-02-02,-506,105,280,-679
86,2025-03-16,-456,-5,-563,736
